Angulo(°) TotalEnergia(kcal/mol) AngularEnergia(kcal/mol) EnlaceEnergia(kcal/mol)
5 968.963847409197 932.890848096795 36.0720359999998
10 916.41734249599 880.344343183588 36.0720359999998
15 865.393924681716 829.320925369314 36.0720359999998
20 815.893593966376 779.820594653974 36.0720359999998
25 767.916350349969 731.843351037567 36.0720359999998
30 721.462193832496 685.389194520094 36.0720359999998
35 676.531124413956 640.458125101555 36.0720359999998
40 633.12314209435 597.050142781949 36.0720359999998
45 591.238246873678 555.165247561276 36.0720359999998
50 550.876438751939 514.803439439538 36.0720359999998
55 512.037717729134 475.964718416732 36.0720359999998
60 474.722083805262 438.64908449286 36.0720359999998
65 438.929536980324 402.856537667922 36.0720359999998
70 404.660077254319 368.587077941917 36.0720359999998
75 371.913704627248 335.840705314846 36.0720359999998
80 340.69041909911 304.617419786709 36.0720359999998
85 310.990220669906 274.917221357504 36.0720359999998
90 282.813109339636 246.740110027234 36.0720359999998
95 256.159085108299 220.086085795897 36.0720359999998
100 231.028147975895 194.955148663493 36.0720359999998
105 207.420297942425 171.347298630024 36.0720359999998
110 185.335535007889 149.262535695487 36.0720359999998
115 164.773859172286 128.700859859884 36.0720359999998
120 145.735270435617 109.662271123215 36.0720359999998
125 128.219768797881 92.1467694854793 36.0720359999998
130 112.227354259079 76.1543549466771 36.0720359999998
135 97.7580268192102 61.6850275068085 36.0720359999998
140 84.8117864782751 48.7387871658734 36.0720359999998
145 73.3886332362735 37.3156339238718 36.0720359999998
150 63.4885670932055 27.4155677808038 36.0720359999998
155 55.111588049071 19.0385887366693 36.0720359999998
160 48.2576961038701 12.1846967914683 36.0720359999998
165 42.9268912576027 6.85389194520095 36.0720359999998
170 39.1191735102688 3.04617419786708 36.0720359999998
175 36.8345428618685 0.76154354946677 36.0720359999998
180 36.0729993124017 0 36.0720359999998
