Distancia(A) TotalEnergia(kcal/mol) AngularEnergia(kcal/mol) EnlaceEnergia(kcal/mol)
0.7 2.92506331240204 0 2.92410000000008
0.8 1.66506331240191 0 1.66409999999995
0.9 18.4050633124018 0 18.4040999999998
1 53.1450633124016 0 53.1440999999997
1.1 105.885063312402 0 105.8841
1.2 176.625063312401 0 176.624099999999
1.3 265.365063312401 0 265.364099999999
1.4 372.105063312401 0 372.104099999999
1.5 496.845063312401 0 496.844099999999
1.6 639.585063312401 0 639.584099999999
1.7 800.325063312401 0 800.324099999999
1.8 979.065063312401 0 979.064099999999
1.9 1175.8050633124 0 1175.8041
2 1390.5450633124 0 1390.5441
2.1 1623.2850633124 0 1623.2841
2.2 1874.0250633124 0 1874.0241
2.3 2142.7650633124 0 2142.7641
2.4 2429.5050633124 0 2429.5041
2.5 2734.2450633124 0 2734.2441
2.6 3056.9850633124 0 3056.9841
2.7 3397.7250633124 0 3397.7241
2.8 3756.4650633124 0 3756.4641
2.9 4133.2050633124 0 4133.2041
3 4527.9450633124 0 4527.9441
3.1 4940.6850633124 0 4940.6841
3.2 5371.4250633124 0 5371.4241
3.3 5820.1650633124 0 5820.1641
3.4 6286.9050633124 0 6286.9041
3.5 6771.6450633124 0 6771.6441
