# Time-averaged data for fix data_out
# TimeStep v_t c_myVACF[4] c_myMSD[4]
600 600 0.000474823 0.00162098
800 800 -0.000358426 0.00234869
1000 1000 -0.000403204 0.000326561
1200 1200 3.19704e-05 0.00772729
1400 1400 0.00042825 0.000303785
1600 1600 0.000272567 0.00334806
1800 1800 -0.00051408 0.00143966
2000 2000 -0.000241583 0.00163753
2200 2200 0.000226709 0.00760559
2400 2400 0.000357841 0.00194107
2600 2600 1.0209e-05 0.00566195
2800 2800 -0.000507956 0.00257342
3000 3000 2.94238e-05 0.00384135
3200 3200 0.000307932 0.00812077
3400 3400 0.000143905 0.00501138
3600 3600 -0.000205952 0.00811773
3800 3800 -0.00033753 0.00518479
4000 4000 0.000308925 0.00544154
4200 4200 0.000230798 0.00931277
4400 4400 -0.000127994 0.00683209
4600 4600 -0.000291487 0.00994949
4800 4800 -6.46327e-05 0.00658978
5000 5000 0.000493169 0.00548738
5200 5200 1.91852e-05 0.0092962
5400 5400 -0.000350858 0.00568745
5600 5600 -0.000218849 0.0104961
5800 5800 0.000209747 0.00520757
6000 6000 0.000515725 0.00445133
6200 6200 -0.000245921 0.00678779
6400 6400 -0.000436266 0.00300232
6600 6600 -2.84073e-05 0.00958735
6800 6800 0.000384022 0.00244636
7000 7000 0.000373355 0.00357676
7200 7200 -0.000459918 0.00326518
7400 7400 -0.000347326 0.00137519
7600 7600 0.000188118 0.00776936
7800 7800 0.000394288 0.000947246
8000 8000 0.000128358 0.00354932
8200 8200 -0.000536414 0.0013133
8400 8400 -0.000114052 0.00136661
8600 8600 0.000326958 0.00617728
8800 8800 0.000239462 0.00144534
9000 9000 -0.000116244 0.00419286
9200 9200 -0.000442106 0.00173809
9400 9400 0.000176788 0.00179467
9600 9600 0.000317915 0.00608232
9800 9800 -1.77095e-05 0.00301945
10000 10000 -0.000259822 0.00645964
10200 10200 -0.000209956 0.00466429
10400 10400 0.000414034 0.00436909
10600 10600 0.000154285 0.0112597
10800 10800 -0.000272654 0.00997256
11000 11000 -0.000245631 0.0186661
11200 11200 7.1183e-05 0.0196039
11400 11400 0.000496447 0.0266258
11600 11600 -9.77595e-05 0.0458519
11800 11800 -0.000404378 0.0549251
12000 12000 -8.97815e-05 0.0856845
12200 12200 0.000266523 0.106063
12400 12400 0.00034736 0.152167
12600 12600 -0.000270036 0.212405
12800 12800 -0.000301808 0.247502
13000 13000 7.12786e-05 0.338594
13200 13200 0.000226146 0.402758
13400 13400 3.88014e-05 0.511016
13600 13600 -0.000151121 0.58876
13800 13800 -7.98251e-05 0.613273
14000 14000 4.9353e-05 0.769511
14200 14200 5.7105e-05 0.849255
14400 14400 -0.000113899 0.971635
14600 14600 0.000121747 0.99849
14800 14800 -5.5757e-05 0.999951
15000 15000 -9.04788e-05 1.21728
15200 15200 2.93217e-05 1.26746
15400 15400 -4.06915e-05 1.34555
15600 15600 0.000240658 1.289
15800 15800 -0.000252511 1.27464
16000 16000 -0.000104163 1.4889
16200 16200 0.000178915 1.45005
16400 16400 4.08212e-05 1.46936
16600 16600 0.000126092 1.3789
16800 16800 -0.000421427 1.39182
17000 17000 3.67576e-05 1.57125
17200 17200 0.0003132 1.46934
17400 17400 1.593e-05 1.49244
17600 17600 -3.95231e-05 1.43529
17800 17800 -0.000458962 1.49443
18000 18000 0.000219044 1.61171
18200 18200 0.000342911 1.46947
18400 18400 -8.75081e-05 1.52289
18600 18600 -0.000146067 1.50765
18800 18800 -0.000360437 1.57806
19000 19000 0.000358901 1.60162
19200 19200 0.000236302 1.43619
19400 19400 -0.000196992 1.52386
19600 19600 -0.000122715 1.5197
19800 19800 -0.000174735 1.54467
20000 20000 0.00034829 1.46665
20200 20200 3.58974e-05 1.30137
20400 20400 -0.000180349 1.39152
