# Time-averaged data for fix vacf_out
# TimeStep c_myVACF[4]
500 0.000472905
501 0.000424594
502 0.000246968
503 1.39944e-05
504 -0.000182908
505 -0.000270338
506 -0.000221239
507 -6.49551e-05
508 0.000125111
509 0.000261474
510 0.000278227
511 0.000158048
512 -6.01841e-05
513 -0.000295999
514 -0.000458287
515 -0.000480465
516 -0.000346333
517 -9.68606e-05
518 0.000184591
519 0.000402979
520 0.000486655
521 0.000413612
522 0.000219024
523 -1.87899e-05
524 -0.000208751
525 -0.000282176
526 -0.000219136
527 -5.56129e-05
528 0.000131544
529 0.000256005
530 0.000257159
531 0.000124973
532 -9.53318e-05
533 -0.000320467
534 -0.000461247
535 -0.000457192
536 -0.000300289
537 -3.89462e-05
538 0.000239369
539 0.000440304
540 0.00049754
541 0.000397272
542 0.000182936
543 -6.17261e-05
544 -0.000244959
545 -0.000302308
546 -0.000221259
547 -4.54341e-05
548 0.000143509
549 0.000259186
550 0.000245665
551 0.000100379
552 -0.000124264
553 -0.000341035
554 -0.00046177
555 -0.000431803
556 -0.000251772
557 2.1493e-05
558 0.00029542
559 0.00047591
560 0.000502437
561 0.00037068
562 0.00013394
563 -0.000117382
564 -0.00029055
565 -0.000326151
566 -0.000220753
567 -2.75097e-05
568 0.000165723
569 0.000272139
570 0.000241233
571 7.9408e-05
572 -0.000152135
573 -0.000361196
574 -0.000460604
575 -0.000402511
576 -0.00019782
577 8.66952e-05
578 0.000352693
579 0.000506958
580 0.000496561
581 0.000328974
582 6.92183e-05
583 -0.000185058
584 -0.000341127
585 -0.000346857
586 -0.000210533
587 3.15692e-06
588 0.00019957
589 0.000292482
590 0.000238943
591 5.66665e-05
592 -0.000182769
593 -0.000381989
594 -0.000456078
595 -0.000366222
596 -0.000135847
597 0.000157041
598 0.000408681
599 0.000528738
600 0.000474823
601 0.000268891
602 -1.10117e-05
603 -0.000260682
604 -0.000389883
605 -0.000357089
606 -0.000185168
607 4.83826e-05
608 0.000242921
609 0.000315273
610 0.000233125
611 2.79265e-05
612 -0.000217555
613 -0.000401871
614 -0.000444914
615 -0.000319881
616 -6.48825e-05
617 0.000230486
618 0.000458788
619 0.000535841
620 0.000433296
621 0.000189881
622 -0.000103266
623 -0.000337638
624 -0.000429214
625 -0.000350815
626 -0.000142164
627 0.000106518
628 0.000290939
629 0.00033456
630 0.000219034
631 -8.70961e-06
632 -0.000255201
633 -0.000417403
634 -0.00042349
635 -0.000261732
636 1.37245e-05
637 0.000302729
638 0.000497322
639 0.00052353
640 0.000370365
641 9.44907e-05
642 -0.000201399
643 -0.000408168
644 -0.000452396
645 -0.000324609
646 -8.23788e-05
647 0.000173074
648 0.000337476
649 0.000344993
650 0.000194056
651 -5.24327e-05
652 -0.000292268
653 -0.000424417
654 -0.000389119
655 -0.000192159
656 9.62635e-05
657 0.000367997
658 0.000518752
659 0.00048893
660 0.000287294
661 -1.19733e-05
662 -0.000297751
663 -0.0004649
664 -0.000454893
665 -0.00027821
666 -9.61247e-06
667 0.000241927
668 0.000376596
669 0.000343065
670 0.000158224
671 -0.000100099
672 -0.000324224
673 -0.000419292
674 -0.000341023
675 -0.000113953
676 0.000177216
677 0.00042017
678 0.000518924
679 0.000431782
680 0.000188179
681 -0.000122311
682 -0.000384506
683 -0.000502148
684 -0.000435061
685 -0.000214354
686 7.0369e-05
687 0.000306711
688 0.000403827
689 0.000327762
690 0.000114026
691 -0.000147129
692 -0.000346678
693 -0.00040003
694 -0.000280808
695 -3.19985e-05
696 0.000250216
697 0.000453983
698 0.000495979
699 0.000354678
700 7.9378e-05
701 -0.00022858
702 -0.000454953
703 -0.000516764
704 -0.000394247
705 -0.000138057
706 0.000151067
707 0.000362071
708 0.000416947
709 0.000300582
710 6.56934e-05
711 -0.000188676
712 -0.00035653
713 -0.000366931
714 -0.000212402
715 4.74945e-05
716 0.000309212
717 0.00046609
718 0.000450867
719 0.000262805
720 -3.142e-05
721 -0.000323308
722 -0.000504474
723 -0.00050849
724 -0.000336342
725 -5.55668e-05
726 0.000226481
727 0.000404583
728 0.000416231
729 0.000265024
730 1.8134e-05
731 -0.000220812
732 -0.000352825
733 -0.000322771
734 -0.000141491
735 0.000118082
736 0.00034963
737 0.000455818
738 0.00038738
739 0.000163235
740 -0.000136335
741 -0.000400599
742 -0.000531148
743 -0.000479804
744 -0.00026694
745 2.68229e-05
746 0.000292144
747 0.00043321
748 0.000404149
749 0.000225654
750 -2.42659e-05
751 -0.000241531
752 -0.000337153
753 -0.000272446
754 -7.4518e-05
755 0.000174323
756 0.000369358
757 0.000425497
758 0.000311687
759 6.38734e-05
760 -0.000228503
761 -0.00045698
762 -0.000535899
763 -0.000435307
764 -0.000192229
765 0.000103905
766 0.0003458
767 0.000449244
768 0.000384597
769 0.000186926
770 -5.87671e-05
771 -0.000251366
772 -0.000313505
773 -0.000222083
774 -1.7397e-05
775 0.000212971
776 0.000369349
777 0.00038023
778 0.000231379
779 -2.78269e-05
780 -0.000303165
781 -0.000491856
782 -0.00052213
783 -0.000380722
784 -0.000117788
785 0.000172439
786 0.000387589
787 0.00045572
788 0.00036176
789 0.000151956
790 -8.50875e-05
791 -0.000253438
792 -0.0002875
793 -0.000177721
794 2.58551e-05
795 0.00023384
796 0.000353648
797 0.000327068
798 0.000154128
799 -0.000106184
800 -0.000358426
801 -0.000507428
802 -0.000494877
803 -0.000321657
804 -4.75182e-05
805 0.000231591
806 0.00041966
807 0.000456358
808 0.000338838
809 0.000121559
810 -0.000105638
811 -0.000252816
812 -0.000265063
813 -0.0001438
814 5.42272e-05
815 0.000240066
816 0.00032869
817 0.000273626
818 8.61674e-05
819 -0.000168333
820 -0.000395449
821 -0.000507996
822 -0.000459558
823 -0.000262384
824 1.70197e-05
825 0.000282749
826 0.000445232
827 0.000454266
828 0.000316943
829 9.38426e-05
830 -0.000124996
831 -0.000255198
832 -0.000250798
833 -0.000121845
834 7.01827e-05
835 0.000237528
836 0.00030189
837 0.00022639
838 3.09821e-05
839 -0.00021468
840 -0.000417922
841 -0.00049873
842 -0.000420622
843 -0.000204955
844 7.66374e-05
845 0.000328703
846 0.000467279
847 0.000450729
848 0.000294554
849 6.46213e-05
850 -0.000148621
851 -0.000265209
852 -0.000246515
853 -0.000109832
854 7.91913e-05
855 0.000233435
856 0.000279824
857 0.0001892
858 -1.13541e-05
859 -0.000248503
860 -0.000430842
861 -0.000484205
862 -0.000380478
863 -0.000148983
864 0.000133812
865 0.000372346
866 0.000487241
867 0.00044453
868 0.000267804
869 2.86477e-05
870 -0.000181108
871 -0.000284816
872 -0.000250459
873 -0.000102556
874 8.8316e-05
875 0.000234404
876 0.000266538
877 0.000162411
878 -4.38934e-05
879 -0.000274737
880 -0.000438928
881 -0.000467132
882 -0.000339074
883 -9.22115e-05
884 0.000191421
885 0.000415302
886 0.000504199
887 0.000432091
888 0.00023162
889 -1.86602e-05
890 -0.000224552
891 -0.00031246
892 -0.000257596
893 -9.30216e-05
894 0.000104239
895 0.000244647
896 0.000262577
897 0.000143087
898 -7.16003e-05
899 -0.000298295
900 -0.000445193
901 -0.000447753
902 -0.000294317
903 -3.17215e-05
904 0.00025132
905 0.000456973
906 0.000514847
907 0.00040846
908 0.000181368
909 -7.95785e-05
910 -0.000277606
911 -0.000343247
912 -0.000260934
913 -7.44086e-05
914 0.000131393
915 0.00026491
916 0.000265092
917 0.000126187
918 -9.96171e-05
919 -0.000322497
920 -0.000450149
921 -0.000424088
922 -0.000243176
923 3.46463e-05
924 0.000313279
925 0.000494326
926 0.000514297
927 0.00036883
928 0.000114441
929 -0.0001531
930 -0.000335582
931 -0.000370169
932 -0.000253423
933 -4.19445e-05
934 0.000170826
935 0.000292486
936 0.000268964
937 0.000106296
938 -0.00013162
939 -0.000348144
940 -0.000451898
941 -0.000392918
942 -0.000183078
943 0.000107143
944 0.000374609
945 0.00052251
946 0.000497428
947 0.000310045
948 3.12711e-05
949 -0.000234915
950 -0.000391509
951 -0.000385869
952 -0.000229774
953 5.92867e-06
954 0.000220129
955 0.00032223
956 0.000268462
957 7.92847e-05
958 -0.000168794
959 -0.000373463
960 -0.000446989
961 -0.000351124
962 -0.000113107
963 0.000183589
964 0.000430569
965 0.000536023
966 0.000460317
967 0.000231652
968 -6.45096e-05
969 -0.000318277
970 -0.000437732
971 -0.000384377
972 -0.000187657
973 6.73524e-05
974 0.000274284
975 0.000348103
976 0.000258879
977 4.34021e-05
978 -0.000209644
979 -0.000394826
980 -0.00043168
981 -0.000296923
982 -3.46715e-05
983 0.000259576
984 0.000475354
985 0.000530057
986 0.00040134
987 0.000136245
988 -0.000166684
989 -0.000395374
990 -0.00046753
991 -0.000362338
992 -0.000128047
993 0.000137712
994 0.000327058
995 0.000364744
996 0.000237677
997 -4.08196e-07
998 -0.000250576
999 -0.00040793
1000 -0.000403204
1001 -0.000230688
1002 4.84713e-05
1003 0.000329241
1004 0.000503336
1005 0.000501656
1006 0.000321721
1007 2.91298e-05
1008 -0.000267571
1009 -0.000458813
1010 -0.000476362
1011 -0.000319517
1012 -5.4797e-05
1013 0.000210827
1014 0.000372479
1015 0.000368657
1016 0.000204943
1017 -4.89064e-05
1018 -0.000286948
1019 -0.000409058
1020 -0.000360719
1021 -0.000155193
1022 0.000130764
1023 0.000386384
1024 0.000510257
1025 0.000450469
1026 0.000225492
1027 -8.25132e-05
1028 -0.000359335
1029 -0.000502868
1030 -0.000462549
1031 -0.000258631
1032 2.63192e-05
1033 0.000280306
1034 0.00040605
1035 0.000358822
1036 0.000163195
1037 -9.7459e-05
1038 -0.000314297
1039 -0.00039614
1040 -0.000305781
1041 -7.53148e-05
1042 0.000205801
1043 0.000425656
1044 0.000494155
1045 0.000378994
1046 0.000118957
1047 -0.000190743
1048 -0.000435217
1049 -0.000524314
1050 -0.000427362
1051 -0.000184651
1052 0.00010881
1053 0.000340768
1054 0.000425514
1055 0.000336708
1056 0.000116655
1057 -0.000141197
1058 -0.000329479
1059 -0.000369424
1060 -0.000242283
1061 2.738e-06
1062 0.000267484
1063 0.000443629
1064 0.000455887
1065 0.000292346
1066 9.78062e-06
1067 -0.000288056
1068 -0.00049052
1069 -0.000522793
1070 -0.000374603
1071 -0.000103775
1072 0.000186676
1073 0.000388751
1074 0.000431083
1075 0.000305755
1076 7.01937e-05
1077 -0.000176204
1078 -0.000331522
1079 -0.000331657
1080 -0.000175884
1081 7.25206e-05
1082 0.000311207
1083 0.000439572
1084 0.000399182
1085 0.000197558
1086 -9.41517e-05
1087 -0.000368499
1088 -0.00052323
1089 -0.000500677
1090 -0.00030978
1091 -2.22498e-05
1092 0.000255447
1093 0.000423167
1094 0.000425151
1095 0.000270445
1096 2.81223e-05
1097 -0.000200518
1098 -0.000322028
1099 -0.000287714
1100 -0.000112995
1101 0.000128619
1102 0.00033486
1103 0.000415792
1104 0.000330181
1105 0.000102518
1106 -0.000185964
1107 -0.000428549
1108 -0.000534184
1109 -0.000462469
1110 -0.000238995
1111 5.47633e-05
1112 0.000312858
1113 0.000445247
1114 0.000411506
1115 0.0002351
1116 -6.93772e-06
1117 -0.000214749
1118 -0.000305001
1119 -0.000243678
1120 -5.94508e-05
1121 0.000167868
1122 0.000339452
1123 0.000377409
1124 0.000256451
1125 1.46417e-05
1126 -0.000260918
1127 -0.000467592
1128 -0.000526723
1129 -0.000413794
1130 -0.000167729
1131 0.000124086
1132 0.000359044
1133 0.000457941
1134 0.000394184
1135 0.000202662
1136 -3.48567e-05
1137 -0.000222098
1138 -0.00028604
1139 -0.000205476
1140 -1.91077e-05
1141 0.000190228
1142 0.000329114
1143 0.000331472
1144 0.000185592
1145 -6.04912e-05
1146 -0.000317197
1147 -0.000487841
1148 -0.000505812
1149 -0.000360141
1150 -9.97588e-05
1151 0.000184955
1152 0.000396134
1153 0.000464843
1154 0.000376184
1155 0.000173732
1156 -5.81949e-05
1157 -0.000227658
1158 -0.000270956
1159 -0.000177332
1160 7.26411e-06
1161 0.000199017
1162 0.000310335
1163 0.000285518
1164 0.000123667
1165 -0.000120203
1166 -0.000356088
1167 -0.000493605
1168 -0.000476773
1169 -0.000305619
1170 -3.64995e-05
1171 0.000238818
1172 0.000427273
1173 0.000468875
1174 0.000358376
1175 0.000146213
1176 -8.1608e-05
1177 -0.000237034
1178 -0.000264108
1179 -0.000160459
1180 2.23989e-05
1181 0.000200246
1182 0.000290483
1183 0.000245832
1184 7.38878e-05
1185 -0.000165134
1186 -0.000381392
1187 -0.00049002
1188 -0.000443901
1189 -0.000252092
1190 2.29897e-05
1191 0.000288465
1192 0.0004553
1193 0.000471091
1194 0.000339013
1195 0.000115801
1196 -0.000110494
1197 -0.000254609
1198 -0.000266957
1199 -0.000152493
1200 3.19704e-05
1201 0.000201119
1202 0.00027593
1203 0.000215928
1204 3.6006e-05
1205 -0.000198772
1206 -0.000398141
1207 -0.000481537
1208 -0.000409403
1209 -0.000198998
1210 8.12496e-05
1211 0.000336706
1212 0.000481455
1213 0.000470048
1214 0.000314084
1215 7.7278e-05
1216 -0.000149226
1217 -0.000281993
1218 -0.000277372
1219 -0.000147973
1220 4.30859e-05
1221 0.000208071
1222 0.000270382
1223 0.00019579
1224 6.69349e-06
1225 -0.00022615
1226 -0.000410973
1227 -0.00047067
1228 -0.000373023
1229 -0.000143971
1230 0.000141121
1231 0.000385001
1232 0.000504601
1233 0.000462008
1234 0.000278511
1235 2.62464e-05
1236 -0.000199564
1237 -0.000317248
1238 -0.000290034
1239 -0.000139818
1240 6.22824e-05
1241 0.000224992
1242 0.000273998
1243 0.00018217
1244 -1.91542e-05
1245 -0.000252127
1246 -0.000422707
1247 -0.000457437
1248 -0.000332516
1249 -8.40758e-05
1250 0.000204337
1251 0.000432547
1252 0.000521255
1253 0.000441966
1254 0.00022778
1255 -3.92894e-05
1256 -0.000259812
1257 -0.00035519
1258 -0.000297828
1259 -0.000121301
1260 9.37096e-05
1261 0.000252259
1262 0.00028361
1263 0.000169858
1264 -4.66562e-05
1265 -0.000279846
1266 -0.000433617
1267 -0.000439662
1268 -0.000284779
1269 -1.72258e-05
1270 0.000270491
1271 0.000476125
1272 0.000526422
1273 0.000405152
1274 0.000159478
1275 -0.000118041
1276 -0.000325015
1277 -0.000388662
1278 -0.00029374
1279 -8.78634e-05
1280 0.000138103
1281 0.000286863
1282 0.000293911
1283 0.000153427
1284 -7.93428e-05
1285 -0.000309873
1286 -0.000441578
1287 -0.000413994
1288 -0.000227238
1289 5.67158e-05
1290 0.000336729
1291 0.000510745
1292 0.000514937
1293 0.000348493
1294 7.42136e-05
1295 -0.000205496
1296 -0.000388058
1297 -0.000410291
1298 -0.000272608
1299 -3.81786e-05
1300 0.000192798
1301 0.000323472
1302 0.000299118
1303 0.000128839
1304 -0.000118203
1305 -0.000340211
1306 -0.000442967
1307 -0.000377239
1308 -0.000159011
1309 0.000135457
1310 0.000398173
1311 0.000530803
1312 0.000482858
1313 0.000271598
1314 -2.42688e-05
1315 -0.000294799
1316 -0.000441242
1317 -0.000414156
1318 -0.000232235
1319 2.57192e-05
1320 0.000252622
1321 0.000355971
1322 0.000294554
1323 9.4468e-05
1324 -0.000161563
1325 -0.000367058
1326 -0.000433918
1327 -0.000327574
1328 -8.15446e-05
1329 0.000214498
1330 0.000448911
1331 0.000531411
1332 0.000428524
1333 0.000177074
1334 -0.000129708
1335 -0.000378101
1336 -0.00047784
1337 -0.000396943
1338 -0.000173681
1339 9.91177e-05
1340 0.000311268
1341 0.000378983
1342 0.000277733
1343 5.13697e-05
1344 -0.000205692
1345 -0.000385985
1346 -0.00041158
1347 -0.000265341
1348 1.37632e-06
1349 0.000287902
1350 0.000483221
1351 0.000509524
1352 0.000353098
1353 7.02055e-05
1354 -0.000234413
1355 -0.000447983
1356 -0.000493294
1357 -0.00035842
1358 -0.000100825
1359 0.000175797
1360 0.000362735
1361 0.000389011
1362 0.000248781
1363 2.85475e-06
1364 -0.000245857
1365 -0.000393185
1366 -0.000375044
1367 -0.000193287
1368 8.41705e-05
1369 0.000349399
1370 0.000496744
1371 0.000464686
1372 0.00026054
1373 -4.18575e-05
1374 -0.000330534
1375 -0.000498669
1376 -0.000485865
1377 -0.000301264
1378 -1.94308e-05
1379 0.000249349
1380 0.000402496
1381 0.000385012
1382 0.000210219
1383 -4.64101e-05
1384 -0.000277538
1385 -0.000386523
1386 -0.000325814
1387 -0.000116272
1388 0.000160403
1389 0.000393563
1390 0.000487417
1391 0.000399304
1392 0.000157093
1393 -0.000151179
1394 -0.000411261
1395 -0.000526853
1396 -0.000456738
1397 -0.000230385
1398 6.40295e-05
1399 0.000314373
1400 0.00042825
1401 0.000368414
1402 0.000166242
1403 -9.15556e-05
1404 -0.000297567
1405 -0.000366206
1406 -0.000267744
1407 -4.04944e-05
1408 0.000223944
1409 0.000416899
1410 0.000456014
1411 0.000318419
1412 5.03941e-05
1413 -0.000250226
1414 -0.000471819
1415 -0.000532073
1416 -0.00040962
1417 -0.000151918
1418 0.00014357
1419 0.00036737
1420 0.000440148
1421 0.000342585
1422 0.000121663
1423 -0.000128697
1424 -0.000304971
1425 -0.00033496
1426 -0.000206469
1427 2.76145e-05
1428 0.000270174
1429 0.000418635
1430 0.000406213
1431 0.000229034
1432 -5.167e-05
1433 -0.000333001
1434 -0.00051011
1435 -0.000516598
1436 -0.000349923
1437 -7.20523e-05
1438 0.000214727
1439 0.000407213
1440 0.0004405
1441 0.000311905
1442 8.06957e-05
1443 -0.000155943
1444 -0.00030138
1445 -0.000297644
1446 -0.000148354
1447 8.26888e-05
1448 0.000297013
1449 0.000401084
1450 0.000344137
1451 0.00013901
1452 -0.000142229
1453 -0.00039595
1454 -0.000526903
1455 -0.000484835
1456 -0.000283656
1457 4.1154e-06
1458 0.000275247
1459 0.000435079
1460 0.000432985
1461 0.000280554
1462 4.58204e-05
1463 -0.000174003
1464 -0.000290829
1465 -0.000260294
1466 -9.91335e-05
1467 0.000121675
1468 0.000305555
1469 0.000369392
1470 0.000277327
1471 5.57076e-05
1472 -0.000216594
1473 -0.00043847
1474 -0.000525489
1475 -0.000442313
1476 -0.000216187
1477 7.34891e-05
1478 0.000325279
1479 0.000453843
1480 0.000421487
1481 0.000251279
1482 1.6992e-05
1483 -0.000186173
1484 -0.000278896
1485 -0.000228709
1486 -6.24751e-05
1487 0.000144718
1488 0.000300039
1489 0.000330616
1490 0.000213295
1491 -1.54274e-05
1492 -0.000273065
1493 -0.000462812
1494 -0.000510781
1495 -0.000394395
1496 -0.000151152
1497 0.000135399
1498 0.000366944
1499 0.000466977
1500 0.000408792
1501 0.000224451
1502 -8.5112e-06
1503 -0.000197572
1504 -0.000271263
1505 -0.00020687
1506 -3.88771e-05
1507 0.000155336
1508 0.000287022
1509 0.000292204
1510 0.000157908
1511 -7.19385e-05
1512 -0.000313083
1513 -0.000473322
1514 -0.000488008
1515 -0.000345024
1516 -8.98034e-05
1517 0.000191367
1518 0.000403331
1519 0.000477219
1520 0.000395528
1521 0.000197769
1522 -3.54215e-05
1523 -0.000213704
1524 -0.00027203
1525 -0.000195656
1526 -2.53159e-05
1527 0.000159682
1528 0.000273814
1529 0.000260218
1530 0.000114077
1531 -0.000114731
1532 -0.000340585
1533 -0.000475104
1534 -0.000461308
1535 -0.000295866
1536 -3.10629e-05
1537 0.000244193
1538 0.000437143
1539 0.000485397
1540 0.000379723
1541 0.000166816
1542 -6.90643e-05
1543 -0.000238694
1544 -0.00028229
1545 -0.000192356
1546 -1.59133e-05
1547 0.000164949
1548 0.000266568
1549 0.000237829
1550 8.12125e-05
1551 -0.000147511
1552 -0.000360642
1553 -0.000472487
1554 -0.000432684
1555 -0.000246179
1556 2.76765e-05
1557 0.000296604
1558 0.000469423
1559 0.000489846
1560 0.000357236
1561 0.000126414
1562 -0.000113582
1563 -0.000273789
1564 -0.000299542
1565 -0.000191259
1566 -3.52873e-06
1567 0.000177374
1568 0.000268639
1569 0.000224642
1570 5.57125e-05
1571 -0.000175404
1572 -0.0003778
1573 -0.000467783
1574 -0.000401673
1575 -0.000193485
1576 8.92204e-05
1577 0.000349895
1578 0.000498821
1579 0.000486671
1580 0.000322983
1581 7.2351e-05
1582 -0.0001704
1583 -0.000316681
1584 -0.00031819
1585 -0.000185208
1586 1.82207e-05
1587 0.000200521
1588 0.000279806
1589 0.000217109
1590 3.2344e-05
1591 -0.000203205
1592 -0.000394679
1593 -0.000460778
1594 -0.000365873
1595 -0.000134835
1596 0.000155178
1597 0.000403065
1598 0.000521677
1599 0.000470814
1600 0.000272567
1601 2.89705e-06
1602 -0.000237494
1603 -0.000361912
1604 -0.000331008
1605 -0.000167576
1606 5.32092e-05
